12 14 9 8 2 13 12 4 8 1 0 
11 7 8 14 5 9 3 2 1 4 0 
8 13 5 7 4 0 4 14 1 12 0 
8 1 11 5 6 4 3 12 3 1 0 
5 2 6 13 7 10 8 2 3 14 0 
11 7 5 8 11 7 6 4 8 13 0 
11 2 4 13 1 10 9 7 5 6 0 
10 4 1 5 2 1 5 8 1 12 0 
11 10 9 8 4 11 3 7 4 9 0 
10 6 12 14 8 13 0 4 3 1 0 
11 0 5 9 7 5 4 11 7 2 0 
8 2 0 8 14 12 5 8 4 1 0 
13 5 9 13 14 5 0 3 4 3 0 
12 11 3 1 11 6 0 6 1 3 0 
10 6 5 7 14 9 1 3 10 3 0 
9 0 1 5 11 2 3 14 3 11 0 
10 0 7 8 14 11 6 0 4 11 0 
10 6 7 8 7 5 4 2 9 5 0 
3 2 3 14 2 6 4 1 2 9 0 
2 12 3 10 2 1 11 6 8 14 0 
13 5 6 8 3 14 6 7 5 2 0 
11 0 8 13 14 10 6 2 9 1 0 
