5 11 13 7 0 8 6 3 10 0 
9 3 7 10 4 0 6 8 2 0 
13 1 2 9 7 3 2 12 11 0 
5 11 13 7 0 8 6 14 10 0 
14 10 5 10 2 0 1 8 2 0 
5 7 2 0 8 1 4 14 2 0 
13 2 4 8 7 2 1 3 10 0 
8 5 10 12 5 8 3 4 14 0 
14 2 12 1 3 4 2 10 5 0 
4 3 14 6 5 7 1 9 4 0 
6 9 0 4 13 10 3 12 1 0 
12 13 14 9 5 3 1 5 3 0 
14 9 13 0 7 1 4 8 1 0 
14 9 13 0 7 1 4 6 9 0 
14 9 13 0 7 1 4 5 10 0 
9 7 5 1 10 8 4 9 8 0 
14 5 7 2 12 6 4 11 3 0 
8 2 13 10 6 3 4 10 12 0 
11 8 0 6 5 4 3 1 10 0 
7 10 9 0 8 11 7 9 4 0 
9 6 13 14 10 2 6 9 7 0 
6 1 5 10 8 7 2 10 6 0 
10 8 7 10 9 8 0 2 1 0 
10 8 7 10 9 8 0 2 9 0 
14 12 5 6 4 3 4 14 9 0 
10 8 14 2 9 8 3 5 2 0 
7 4 0 7 12 4 1 2 1 0 
14 2 13 14 2 6 3 1 5 0 
5 4 0 1 9 8 7 6 5 0 
