9 7 6 4 2 6 1 0 
14 9 6 3 2 6 1 0 
12 5 0 1 5 2 1 0 
11 14 12 0 6 4 1 0 
12 1 10 8 1 5 2 0 
12 11 10 0 1 5 2 0 
13 10 3 12 5 6 3 0 
5 8 11 7 6 1 5 0 
14 13 14 9 10 6 1 0 
13 14 5 11 5 2 4 0 
12 11 10 7 10 0 1 0 
9 13 7 3 12 9 3 0 
9 7 4 3 12 9 3 0 
11 9 7 3 10 3 12 0 
13 14 12 11 10 6 1 0 
9 3 12 5 6 9 3 0 
12 1 2 6 9 3 7 0 
3 12 11 5 6 9 3 0 
13 3 10 6 3 12 5 0 
13 3 10 3 12 8 5 0 
11 7 14 2 9 5 2 0 
9 8 6 9 3 0 1 0 
14 8 14 2 9 5 2 0 
8 13 14 12 1 5 1 0 
4 14 9 6 12 9 4 0 
4 14 6 9 12 9 4 0 
14 8 14 2 9 2 9 0 
14 0 7 12 5 7 3 0 
3 12 8 11 5 9 3 0 
2 9 3 4 11 0 1 0 
14 12 11 0 4 11 6 0 
4 3 2 6 1 0 3 0 
14 12 5 1 2 9 7 0 
14 4 14 9 5 1 9 0 
10 14 9 5 3 1 9 0 
12 11 9 7 4 3 10 0 
12 5 7 12 9 3 2 0 
14 12 10 8 4 11 10 0 
4 13 3 7 1 0 2 0 
14 2 13 9 0 7 4 0 
13 10 0 2 12 5 1 0 
7 2 12 11 10 4 2 0 
13 14 5 6 9 8 3 0 
9 7 2 12 9 4 3 0 
3 1 3 12 8 11 1 0 
14 6 1 3 12 8 11 0 
13 3 4 14 5 6 9 0 
14 2 12 9 7 5 4 0 
