10 8 11 1 5 2 6 5 2 0
14 8 11 0 4 2 6 5 2 0
11 10 8 6 0 9 1 5 2 0
11 10 8 1 5 2 6 5 2 0
14 7 4 2 6 1 9 6 1 0
10 4 8 6 9 0 1 5 2 0
10 8 2 6 9 0 1 5 2 0
14 7 4 2 1 6 9 6 1 0
9 7 4 2 1 6 9 6 1 0
9 10 8 6 0 9 1 5 2 0
10 4 8 1 2 5 6 5 2 0
8 6 3 1 5 14 6 1 9 0
13 10 8 1 2 5 6 5 2 0
7 6 4 1 2 14 6 1 9 0
10 8 5 1 2 5 6 5 2 0
10 8 7 1 2 5 6 5 2 0
7 5 6 4 1 14 0 6 1 0
13 10 8 6 9 0 1 5 2 0
2 1 11 6 7 14 10 9 8 0
10 8 7 6 9 0 1 5 2 0
8 6 3 1 9 6 1 5 9 0
10 8 1 5 2 14 6 5 2 0
9 7 5 6 4 1 0 6 1 0
13 10 8 1 5 2 6 5 2 0
2 13 1 10 8 5 10 9 8 0
14 7 5 4 1 6 0 6 1 0
9 7 5 4 1 6 0 6 1 0
8 6 12 5 7 0 1 5 2 0
9 10 8 1 2 5 6 5 2 0
13 10 8 6 0 9 1 5 2 0
10 8 14 1 5 2 6 5 2 0
7 4 14 5 1 6 0 6 1 0
10 8 14 1 2 5 6 5 2 0
9 7 4 2 6 1 9 6 1 0
10 8 2 1 2 5 6 5 2 0
10 8 2 6 0 9 1 5 2 0
0 7 5 6 4 1 0 6 1 0
14 7 5 6 4 1 0 6 1 0
9 10 8 1 5 2 6 5 2 0
10 8 14 6 0 9 1 5 2 0
0 7 4 2 6 1 9 6 1 0
11 10 8 6 9 0 1 5 2 0
12 8 5 2 0 6 1 5 9 0
7 4 2 6 1 14 9 6 1 0
10 8 2 1 5 2 6 5 2 0
8 3 0 2 6 1 9 6 1 0
0 7 4 2 1 6 9 6 1 0
10 8 5 1 5 2 6 5 2 0
10 5 4 2 9 6 1 2 9 0
10 8 11 1 2 5 6 5 2 0
10 8 11 6 0 9 1 5 2 0
7 4 14 2 1 6 9 6 1 0
0 7 5 4 1 6 0 6 1 0
10 8 6 9 0 14 1 5 2 0
7 4 14 5 6 1 0 6 1 0
8 0 7 1 3 2 6 5 2 0
8 3 0 5 6 1 0 6 1 0
7 4 14 2 6 1 9 6 1 0
1 10 8 1 5 2 6 5 2 0
10 8 7 6 0 9 1 5 2 0
8 6 3 1 0 6 1 2 9 0
1 10 8 6 9 0 1 5 2 0
10 7 14 1 2 12 13 9 3 0
10 8 5 6 0 9 1 5 2 0
10 8 5 6 9 0 1 5 2 0
1 10 8 6 0 9 1 5 2 0
9 6 13 10 3 4 13 9 3 0
10 8 14 6 9 0 1 5 2 0
11 10 8 1 2 5 6 5 2 0
10 11 13 5 8 0 1 5 2 0
1 10 8 1 2 5 6 5 2 0
8 3 0 5 1 6 0 6 1 0
8 3 0 2 1 6 9 6 1 0
10 4 8 6 0 9 1 5 2 0
